Commit标题,作者和时间,Commit链接
rtmp-services: Change the server URL of AfreecaTV to SOOP Korea,태스키_박태연 committed 1 year ago,https://github.com/obsproject/obs-studio/commit/c835bc57f14849e87efe9c4eb808b75a7c6e895a
"coordinate calcuration fiex in place_image(). change data type from int to float, for bilienar interpolation",영상인식기술 Cell 이광국 committed 7 years ago,https://github.com/pjreddie/darknet/commit/558ec9c64c34d52e9b85f9324fbffb44a2936789
Use jv_mem_alloc to allocate dtoa_context in tsd_dtoa_context_get (#3356),엄태용 committed 5 months ago,https://github.com/jqlang/jq/commit/2e6987967e9cbea933619c4a5f78b226acb49c13
Update ko_KR (부트 -> 부팅) (#2147),민웅기 committed 2 years ago,https://github.com/ventoy/Ventoy/commit/7ee3a6d9f8ce316a7e5b34d381a9cb9f78b1d297
Add RISC-V 64-bit architecture detection,黄尚诚10330306 committed 1 month ago,https://github.com/facebook/zstd/commit/71146f5b6d975d0b6d20426ee14ce28afbfb0d5a
Update README.md,飛雲 committed 6 years ago,https://github.com/Awesome-HarmonyOS/HarmonyOS/commit/1647496f40fe581bfe4d0a6082d710428c199470
Update Chinese translations in sandman_zh_CN.ts,风之暇想 committed 30 days ago,https://github.com/sandboxie-plus/Sandboxie/commit/47dfacaf1035e2c95bffb8a98b02961c4bd29402
default use bbr as cc instead of cubic,静笃 committed 2 years ago,https://github.com/alibaba/tengine/commit/926c27e0755fc520155510a8196fc2f5ab26840c
fix close request after upstream finished,静笃 committed 2 years ago,https://github.com/alibaba/tengine/commit/afb45fbea961c1862825816fe3b4bf55995ed30b
match server block first in ngx_http_v3_cert_cb,静笃 committed 2 years ago,https://github.com/alibaba/tengine/commit/4a6f3ec509f5bdbdc0216a807f806bdf4c85e2af
fix crash when create memory block error!,闫猛 committed 8 years ago,https://github.com/bilibili/ijkplayer/commit/e075bd81d5c766eaeed4c0454a8c9f99982ade61
remove the release code to shutdown method,闫猛 committed 8 years ago,https://github.com/bilibili/ijkplayer/commit/3066ab8ecd1c45d694f064ec2dbcfa74d02b2d78
"Fix memory leak (if not call prepareToPlay, The IJKFFMoviePlayerController will memory leak)",闫猛 committed 8 years ago,https://github.com/bilibili/ijkplayer/commit/42231abb6f53589aef3ebae03287a35fd3c53316
sandman_zh_CN.ts,鎧塚 希美 committed 7 days ago,https://github.com/sandboxie-plus/Sandboxie/commit/9195f5cafc8a5a7417ae3fb5d57d1a587fde114a
Update sandman_zh_CN.ts,鎧塚 希美 committed 5 days ago,https://github.com/sandboxie-plus/Sandboxie/commit/d5fa44aff17e7e568ee6d2dfac4a7184ae926400
