序号,项目名称,项目URL,Star数,描述,创建时间,更新时间
1,torvalds/linux,https://github.com/torvalds/linux,209480,Linux kernel source tree,2011-09-04T22:48:12Z,2025-12-05T15:24:03Z
2,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,132038,Display and control your Android device,2017-11-21T18:00:27Z,2025-12-05T14:46:02Z
3,netdata/netdata,https://github.com/netdata/netdata,76918,"The fastest path to AI-powered full stack observability, even for lean teams.",2013-06-17T18:39:10Z,2025-12-05T15:12:36Z
4,ventoy/Ventoy,https://github.com/ventoy/Ventoy,72765,A new bootable USB solution.,2020-03-10T15:19:19Z,2025-12-05T14:43:20Z
5,redis/redis,https://github.com/redis/redis,72010,"For developers, who are building real-time data-driven applications, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine.",2009-03-21T22:32:25Z,2025-12-05T14:11:13Z
6,obsproject/obs-studio,https://github.com/obsproject/obs-studio,68498,OBS Studio - Free and open source software for live streaming and screen recording,2013-10-01T02:40:31Z,2025-12-05T14:21:33Z
7,git/git,https://github.com/git/git,57868,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.,2008-07-23T14:21:26Z,2025-12-05T15:21:25Z
8,FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,55309,Mirror of https://git.ffmpeg.org/ffmpeg.git,2011-04-14T14:12:38Z,2025-12-05T14:54:11Z
9,curl/curl,https://github.com/curl/curl,40070,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",2010-03-18T22:32:22Z,2025-12-05T15:22:32Z
10,tmux/tmux,https://github.com/tmux/tmux,39964,tmux source code,2015-06-03T23:32:55Z,2025-12-05T14:42:24Z
11,wg/wrk,https://github.com/wg/wrk,39857,Modern HTTP benchmarking tool,2012-03-20T11:12:28Z,2025-12-05T08:27:06Z
12,php/php-src,https://github.com/php/php-src,39672,The PHP Interpreter,2011-06-16T01:52:25Z,2025-12-05T07:54:42Z
13,pbatard/rufus,https://github.com/pbatard/rufus,33875,The Reliable USB Formatting Utility,2011-11-19T19:12:05Z,2025-12-05T10:00:03Z
