项目名称,提交ID,提交时间,总变化行数
Genymobile/scrcpy,b08093d,2025-11-19T15:14:46Z,2
Genymobile/scrcpy,e5e58b1,2025-09-27T14:10:10Z,42
Genymobile/scrcpy,10a0974,2025-09-23T19:16:29Z,10
Genymobile/scrcpy,be21e43,2025-09-23T18:18:26Z,1
Genymobile/scrcpy,bfb0872,2025-09-23T18:17:27Z,8
Genymobile/scrcpy,e11399a,2025-09-18T08:01:29Z,66
Genymobile/scrcpy,9d56d26,2025-09-11T12:36:14Z,2
Genymobile/scrcpy,f663bbe,2025-09-06T12:54:36Z,42
Genymobile/scrcpy,2506d17,2025-09-06T12:33:49Z,10
Genymobile/scrcpy,4ee94cb,2025-09-06T12:25:27Z,12
Genymobile/scrcpy,afaca80,2025-09-05T16:41:49Z,23
Genymobile/scrcpy,e47529a,2025-07-25T10:22:09Z,2
Genymobile/scrcpy,8057835,2025-07-21T01:42:59Z,2
Genymobile/scrcpy,939c8e7,2025-07-17T16:26:44Z,63
Genymobile/scrcpy,04542a9,2025-07-17T11:19:15Z,2
Genymobile/scrcpy,8761dcb,2025-07-16T17:07:58Z,2
Genymobile/scrcpy,a79ddc3,2025-07-11T17:28:59Z,4
Genymobile/scrcpy,c3d2ef1,2025-07-11T17:27:23Z,5
Genymobile/scrcpy,eb576c4,2025-07-10T21:01:05Z,12
Genymobile/scrcpy,0522d02,2025-07-10T20:59:16Z,2
Genymobile/scrcpy,30bfc80,2025-07-04T15:43:49Z,3
Genymobile/scrcpy,f01231d,2025-06-20T18:14:42Z,42
Genymobile/scrcpy,5b18ce0,2025-06-20T17:42:40Z,10
Genymobile/scrcpy,7c8bdcc,2025-06-20T07:06:10Z,33
Genymobile/scrcpy,9787fe5,2025-06-19T18:50:26Z,12
Genymobile/scrcpy,4841fdd,2025-06-18T16:29:04Z,29
Genymobile/scrcpy,fc75319,2025-06-18T16:26:13Z,33
Genymobile/scrcpy,98d3028,2025-06-17T19:02:41Z,3
Genymobile/scrcpy,d74cfd5,2025-06-13T07:40:20Z,2
Genymobile/scrcpy,772f421,2025-06-13T07:36:34Z,4
Genymobile/scrcpy,cd3a5d5,2025-06-13T07:24:36Z,3
Genymobile/scrcpy,38256d8,2025-06-12T13:27:40Z,2
Genymobile/scrcpy,4e1cf13,2025-06-12T07:03:39Z,9
Genymobile/scrcpy,696402c,2025-06-11T20:15:30Z,42
