项目名称,提交ID,提交时间,总变化行数
HandBrake/HandBrake,68b0d81,2025-12-16T13:22:19Z,22
HandBrake/HandBrake,c15924c,2025-12-14T21:40:53Z,4314
HandBrake/HandBrake,326e854,2025-12-14T07:08:10Z,6
HandBrake/HandBrake,b647aa5,2025-12-14T07:08:02Z,6
HandBrake/HandBrake,c392dbd,2025-12-14T07:07:41Z,3211
HandBrake/HandBrake,aa5f321,2025-12-13T23:07:00Z,12
HandBrake/HandBrake,19a618d,2025-12-13T14:47:19Z,167
HandBrake/HandBrake,8e27c6f,2025-12-10T08:02:38Z,4
HandBrake/HandBrake,6eae19a,2025-12-08T10:13:37Z,5
HandBrake/HandBrake,fdf7ebd,2025-12-03T21:34:26Z,4
HandBrake/HandBrake,d5e6ef5,2025-12-03T21:01:50Z,12
HandBrake/HandBrake,ae41c6b,2025-12-03T20:29:48Z,33
HandBrake/HandBrake,4748370,2025-12-03T20:29:30Z,6
HandBrake/HandBrake,9bdbd8b,2025-12-03T19:48:50Z,2
HandBrake/HandBrake,eeab05d,2025-12-03T18:59:07Z,12
HandBrake/HandBrake,4f0319e,2025-12-03T06:34:02Z,14
HandBrake/HandBrake,0c5e100,2025-12-02T22:32:55Z,18
HandBrake/HandBrake,d3c0ec3,2025-12-02T20:15:15Z,4
HandBrake/HandBrake,9a9eed7,2025-12-02T19:46:35Z,8
HandBrake/HandBrake,77ed3d8,2025-12-02T19:29:19Z,4
HandBrake/HandBrake,8b8eb2e,2025-12-02T19:13:33Z,108
HandBrake/HandBrake,05fb27c,2025-12-02T19:01:32Z,4
HandBrake/HandBrake,07c6a73,2025-11-24T06:47:07Z,2
HandBrake/HandBrake,ad21dd9,2025-11-22T09:01:37Z,36
HandBrake/HandBrake,479dfa0,2025-11-14T19:27:21Z,9
HandBrake/HandBrake,fdfc925,2025-11-14T13:11:14Z,28
HandBrake/HandBrake,34053de,2025-11-13T16:17:18Z,2
HandBrake/HandBrake,6d5ce95,2025-11-13T16:04:20Z,14
HandBrake/HandBrake,58227b1,2025-11-13T08:41:59Z,22
HandBrake/HandBrake,34bfb83,2025-11-03T18:16:44Z,43
HandBrake/HandBrake,03aa10a,2025-11-03T17:05:27Z,102
HandBrake/HandBrake,241eb0a,2025-11-03T17:05:09Z,7
HandBrake/HandBrake,1252054,2025-11-03T07:38:40Z,15
HandBrake/HandBrake,6f0abe6,2025-11-03T07:36:41Z,15
HandBrake/HandBrake,899b042,2025-11-02T16:55:24Z,2
HandBrake/HandBrake,2568840,2025-10-27T00:00:53Z,20
HandBrake/HandBrake,64942f5,2025-10-27T00:00:49Z,4
HandBrake/HandBrake,449be38,2025-10-26T15:36:20Z,33
HandBrake/HandBrake,586a8a3,2025-10-26T15:26:20Z,13
HandBrake/HandBrake,8ef3152,2025-10-26T15:04:25Z,5
HandBrake/HandBrake,e1c859f,2025-10-20T15:12:31Z,16
HandBrake/HandBrake,8bb31a7,2025-10-20T14:47:04Z,2
HandBrake/HandBrake,7446ee6,2025-10-20T14:46:49Z,14
HandBrake/HandBrake,1dbd64d,2025-10-20T13:04:46Z,8
HandBrake/HandBrake,3009f01,2025-10-17T17:22:57Z,36
HandBrake/HandBrake,3c3d826,2025-10-15T08:06:40Z,35
HandBrake/HandBrake,4da9544,2025-10-14T13:30:44Z,124
HandBrake/HandBrake,e004cb4,2025-10-14T13:30:20Z,107
HandBrake/HandBrake,22b8e81,2025-10-07T07:07:06Z,2
HandBrake/HandBrake,f9d40b4,2025-10-05T13:59:36Z,123
HandBrake/HandBrake,abb0f78,2025-10-03T18:50:47Z,2
HandBrake/HandBrake,4b4e463,2025-10-03T18:48:09Z,14397
HandBrake/HandBrake,3499aad,2025-09-30T05:07:14Z,2
HandBrake/HandBrake,fe7e62b,2025-09-29T08:19:21Z,40
HandBrake/HandBrake,9142df9,2025-09-26T18:22:12Z,34
HandBrake/HandBrake,50bb6a7,2025-09-26T18:19:08Z,2
HandBrake/HandBrake,96bd4b9,2025-09-26T18:18:34Z,1
HandBrake/HandBrake,4321b00,2025-09-25T18:23:01Z,6
HandBrake/HandBrake,6e8ead3,2025-09-25T18:22:33Z,14
HandBrake/HandBrake,837e0af,2025-09-25T18:22:16Z,6
HandBrake/HandBrake,43de722,2025-09-25T18:21:57Z,62
HandBrake/HandBrake,59503dc,2025-09-25T07:08:49Z,5
HandBrake/HandBrake,51ffdf2,2025-09-20T04:59:31Z,48
HandBrake/HandBrake,8353501,2025-09-20T04:59:06Z,25
HandBrake/HandBrake,b0ea806,2025-09-19T07:38:43Z,1478
HandBrake/HandBrake,e8b9597,2025-09-17T06:32:41Z,10
HandBrake/HandBrake,ad6ea06,2025-09-15T15:50:50Z,24
HandBrake/HandBrake,4d48164,2025-09-13T15:57:43Z,8
HandBrake/HandBrake,94c8b3e,2025-09-13T10:07:19Z,965
HandBrake/HandBrake,1a22230,2025-09-10T18:06:12Z,11
HandBrake/HandBrake,68c3249,2025-09-10T14:18:52Z,27
HandBrake/HandBrake,e843e55,2025-09-10T07:30:17Z,36
HandBrake/HandBrake,cb176ef,2025-09-10T07:28:07Z,51
HandBrake/HandBrake,96ba45b,2025-09-08T16:45:33Z,28
HandBrake/HandBrake,6543d50,2025-09-08T09:29:18Z,20
HandBrake/HandBrake,1c41141,2025-09-08T08:40:08Z,2
HandBrake/HandBrake,2d7d6f6,2025-09-08T08:37:04Z,4
HandBrake/HandBrake,070d525,2025-09-08T07:37:08Z,39
HandBrake/HandBrake,52a719d,2025-09-08T05:39:30Z,2
HandBrake/HandBrake,6596eb3,2025-09-08T05:39:16Z,2
HandBrake/HandBrake,eb9966a,2025-09-05T18:47:06Z,1
HandBrake/HandBrake,2b6f935,2025-09-05T18:45:36Z,28
HandBrake/HandBrake,554439b,2025-09-05T07:20:47Z,5
HandBrake/HandBrake,8f0c9ff,2025-09-05T07:14:43Z,6
HandBrake/HandBrake,a967176,2025-09-03T20:19:36Z,15
HandBrake/HandBrake,94b72f4,2025-09-02T05:58:46Z,11
HandBrake/HandBrake,3ea0135,2025-08-30T06:14:22Z,17
HandBrake/HandBrake,c7867ba,2025-08-29T15:03:53Z,2369
HandBrake/HandBrake,1a69d88,2025-08-29T11:26:07Z,19
HandBrake/HandBrake,5b07040,2025-08-29T11:20:05Z,2
HandBrake/HandBrake,ca99067,2025-08-29T07:02:00Z,17
HandBrake/HandBrake,ca14650,2025-08-28T07:06:58Z,284
HandBrake/HandBrake,6639c1c,2025-08-27T19:23:52Z,71
HandBrake/HandBrake,bd74ab9,2025-08-27T19:05:13Z,56
HandBrake/HandBrake,5778399,2025-08-27T18:44:18Z,2325
HandBrake/HandBrake,60e7307,2025-08-27T18:38:49Z,188
HandBrake/HandBrake,5afee24,2025-08-27T18:07:28Z,28
HandBrake/HandBrake,356bc78,2025-08-27T07:34:43Z,37
HandBrake/HandBrake,08d5a30,2025-08-23T13:45:11Z,145
HandBrake/HandBrake,3678bca,2025-08-23T10:37:48Z,28
HandBrake/HandBrake,182afde,2025-08-23T06:13:34Z,5
HandBrake/HandBrake,4a7cc10,2025-08-23T05:16:32Z,6
HandBrake/HandBrake,32c55d5,2025-08-23T05:01:34Z,4
HandBrake/HandBrake,8ebf553,2025-08-23T04:58:19Z,87
HandBrake/HandBrake,06b7afc,2025-08-23T04:55:36Z,29
HandBrake/HandBrake,b310ab1,2025-08-22T19:45:05Z,10
HandBrake/HandBrake,62248ea,2025-08-22T05:53:22Z,3
HandBrake/HandBrake,e063570,2025-08-22T05:48:16Z,8
HandBrake/HandBrake,afaf8c9,2025-08-20T05:43:30Z,1
HandBrake/HandBrake,816244e,2025-08-20T05:00:51Z,4
HandBrake/HandBrake,788c07b,2025-08-19T17:45:04Z,2
HandBrake/HandBrake,878e8a8,2025-08-19T17:37:57Z,2
HandBrake/HandBrake,cb6439a,2025-08-18T17:27:10Z,2
HandBrake/HandBrake,a2f5b68,2025-08-18T08:50:54Z,892
HandBrake/HandBrake,d96dfa6,2025-08-18T08:19:10Z,15
HandBrake/HandBrake,67fccf5,2025-08-18T05:40:15Z,14
HandBrake/HandBrake,dc996b0,2025-08-18T05:39:56Z,2
HandBrake/HandBrake,eb83979,2025-08-17T09:24:56Z,2
HandBrake/HandBrake,9aaef19,2025-08-17T09:23:14Z,26
HandBrake/HandBrake,5a9410e,2025-08-16T16:55:39Z,3597
HandBrake/HandBrake,bb9add4,2025-08-16T06:51:29Z,249
HandBrake/HandBrake,ae6b0f3,2025-08-14T20:22:57Z,8
HandBrake/HandBrake,69f5aa1,2025-08-14T16:55:36Z,35
