项目名称,提交ID,提交时间,总变化行数
mozilla-ai/llamafile,9509d91,2025-11-05T17:06:18Z,1751
mozilla-ai/llamafile,9d975d0,2025-11-04T15:42:46Z,195127
mozilla-ai/llamafile,7ee25fe,2025-11-03T18:48:55Z,2963157
mozilla-ai/llamafile,1a5d1c2,2025-11-03T18:12:27Z,30846
mozilla-ai/llamafile,6b46419,2025-10-31T16:26:26Z,9
mozilla-ai/llamafile,cfa861a,2025-06-30T19:03:05Z,63
mozilla-ai/llamafile,1562542,2025-06-01T04:05:48Z,63
mozilla-ai/llamafile,ff0c02e,2025-05-14T22:05:36Z,2
mozilla-ai/llamafile,51b357b,2025-05-13T19:48:05Z,409
mozilla-ai/llamafile,e7b29e1,2025-05-13T19:45:58Z,100
mozilla-ai/llamafile,5d67144,2025-04-30T18:42:23Z,16
mozilla-ai/llamafile,bd1bbe9,2025-04-21T18:29:37Z,42
mozilla-ai/llamafile,e6daab0,2025-04-16T14:17:09Z,2
mozilla-ai/llamafile,a06e3b2,2025-04-16T09:40:11Z,2
mozilla-ai/llamafile,a4ece76,2025-04-13T19:43:02Z,42
mozilla-ai/llamafile,8348de9,2025-04-13T19:12:01Z,407
mozilla-ai/llamafile,c7f379e,2025-04-11T15:31:33Z,2
mozilla-ai/llamafile,7998b11,2025-04-09T23:17:47Z,138
mozilla-ai/llamafile,d108545,2025-04-09T23:11:42Z,2
mozilla-ai/llamafile,81da07b,2025-04-09T23:09:40Z,77
mozilla-ai/llamafile,f4d2640,2025-04-09T22:49:41Z,63
mozilla-ai/llamafile,cf1cc74,2025-04-09T22:29:33Z,21
mozilla-ai/llamafile,5d69a67,2025-04-07T17:01:07Z,4
mozilla-ai/llamafile,1e35ba7,2025-04-06T23:15:55Z,4
mozilla-ai/llamafile,1e777d2,2025-04-03T19:07:57Z,22
mozilla-ai/llamafile,764b51f,2025-04-03T16:16:06Z,2
mozilla-ai/llamafile,11fe18e,2025-04-02T21:18:27Z,4697
mozilla-ai/llamafile,5748e86,2025-04-01T17:02:10Z,4697
mozilla-ai/llamafile,b49946f,2025-03-29T21:49:12Z,21
mozilla-ai/llamafile,a9658c7,2025-03-24T16:36:01Z,94
mozilla-ai/llamafile,fb7ce5a,2025-03-24T16:11:16Z,548
mozilla-ai/llamafile,e7e7e83,2025-03-24T16:10:34Z,13
mozilla-ai/llamafile,8ff1f50,2025-03-21T21:28:05Z,94
mozilla-ai/llamafile,b2e8da7,2025-03-20T20:40:39Z,18
mozilla-ai/llamafile,0458d9d,2025-03-20T20:38:34Z,58
mozilla-ai/llamafile,17c4c7a,2025-03-20T17:51:08Z,194
mozilla-ai/llamafile,33f561d,2025-03-20T17:24:01Z,4
mozilla-ai/llamafile,f0d65b6,2025-03-18T17:36:42Z,232
mozilla-ai/llamafile,4d20599,2025-03-18T17:34:08Z,13
mozilla-ai/llamafile,f6b3831,2025-03-17T21:11:39Z,225
mozilla-ai/llamafile,17d7f4a,2025-03-17T18:19:38Z,118
mozilla-ai/llamafile,7bfb94d,2025-03-16T18:53:39Z,57
mozilla-ai/llamafile,9053d43,2025-03-16T18:02:46Z,11
mozilla-ai/llamafile,f44916f,2025-03-14T22:53:58Z,2
mozilla-ai/llamafile,7d8f412,2025-03-14T22:34:52Z,123
mozilla-ai/llamafile,9d92413,2025-03-14T20:33:26Z,9
mozilla-ai/llamafile,2a4430c,2025-03-14T20:04:40Z,98
mozilla-ai/llamafile,0b4aab8,2025-03-14T19:02:56Z,256
mozilla-ai/llamafile,480b76f,2025-03-14T18:40:58Z,1
mozilla-ai/llamafile,c344ac7,2025-03-14T18:38:13Z,197
mozilla-ai/llamafile,0e529dd,2025-03-14T18:32:09Z,71
mozilla-ai/llamafile,8ffca8b,2025-03-14T18:31:22Z,5
mozilla-ai/llamafile,6adc143,2025-03-14T18:21:14Z,2
mozilla-ai/llamafile,da28043,2025-03-14T18:03:23Z,2
mozilla-ai/llamafile,8dc2684,2025-03-14T17:55:10Z,65
