项目名称,提交ID,提交时间,总变化行数
openwrt/openwrt,8699663,2025-12-16T23:06:24Z,26
openwrt/openwrt,d519a3e,2025-12-16T12:06:57Z,2
openwrt/openwrt,8e4730f,2025-12-16T10:20:13Z,28
openwrt/openwrt,4e688db,2025-12-16T09:27:34Z,6
openwrt/openwrt,5b0617a,2025-12-16T00:22:26Z,31
openwrt/openwrt,e4d5e76,2025-12-15T17:11:24Z,5
openwrt/openwrt,e5cd646,2025-12-15T15:54:52Z,1
openwrt/openwrt,b4bc9ed,2025-12-15T08:54:23Z,6
openwrt/openwrt,0bfc66e,2025-12-15T01:02:35Z,206
openwrt/openwrt,d871e95,2025-12-14T17:45:10Z,106
openwrt/openwrt,a401179,2025-12-14T09:07:38Z,2
openwrt/openwrt,3c073b5,2025-12-14T09:03:47Z,6
openwrt/openwrt,dcbc872,2025-12-14T08:53:49Z,14
openwrt/openwrt,d8dd8bd,2025-12-13T20:12:13Z,13
openwrt/openwrt,4d9400f,2025-12-13T20:01:03Z,12
openwrt/openwrt,ff45460,2025-12-13T11:53:39Z,8
openwrt/openwrt,18eea05,2025-12-13T10:48:52Z,27
openwrt/openwrt,69bbcc6,2025-12-13T10:29:56Z,28
openwrt/openwrt,232c1fb,2025-12-13T10:16:21Z,21
openwrt/openwrt,6b3f8fb,2025-12-13T10:12:35Z,26
openwrt/openwrt,6cf33aa,2025-12-13T09:10:55Z,12
openwrt/openwrt,decc4f6,2025-12-12T20:05:52Z,20
openwrt/openwrt,852d17e,2025-12-12T00:32:56Z,249
openwrt/openwrt,56a71f3,2025-12-11T23:33:59Z,16
openwrt/openwrt,a58e41e,2025-12-11T22:37:33Z,40
openwrt/openwrt,1fccb0e,2025-12-11T21:42:38Z,1516
openwrt/openwrt,a4d6e10,2025-12-11T19:17:26Z,23
openwrt/openwrt,b15628e,2025-12-10T23:51:15Z,63
openwrt/openwrt,04946ee,2025-12-10T22:19:35Z,6
openwrt/openwrt,521087d,2025-12-10T21:48:55Z,64
openwrt/openwrt,97e9d70,2025-12-10T20:19:42Z,199
openwrt/openwrt,f3e4620,2025-12-10T17:21:45Z,2
openwrt/openwrt,9e92064,2025-12-10T01:36:42Z,2
openwrt/openwrt,8b05db4,2025-12-10T01:28:29Z,70
openwrt/openwrt,52fa372,2025-12-09T22:49:48Z,2
openwrt/openwrt,46532c9,2025-12-09T15:17:04Z,6
openwrt/openwrt,409b2f4,2025-12-09T10:47:32Z,2
openwrt/openwrt,d11b77d,2025-12-09T01:06:26Z,56
openwrt/openwrt,afdbdba,2025-12-08T21:40:54Z,6
openwrt/openwrt,5cbafcb,2025-12-08T21:38:25Z,33
openwrt/openwrt,e7a57a9,2025-12-08T21:27:23Z,6
openwrt/openwrt,0cceb4b,2025-12-08T21:26:53Z,6
openwrt/openwrt,e40ca67,2025-12-08T21:20:46Z,26
openwrt/openwrt,367d8b2,2025-12-08T21:18:31Z,4
openwrt/openwrt,f26294f,2025-12-08T21:17:15Z,4
openwrt/openwrt,355bb8c,2025-12-08T21:15:31Z,6
openwrt/openwrt,9c286bd,2025-12-08T21:14:47Z,6
openwrt/openwrt,4e06003,2025-12-08T21:12:49Z,4
openwrt/openwrt,721f808,2025-12-08T20:42:48Z,71
openwrt/openwrt,1c02c78,2025-12-08T20:41:03Z,80
openwrt/openwrt,1684c28,2025-12-08T19:45:16Z,3
openwrt/openwrt,b91ebda,2025-12-08T16:41:25Z,96
openwrt/openwrt,301eee8,2025-12-08T11:11:39Z,28
openwrt/openwrt,46c885a,2025-12-08T11:02:33Z,4
openwrt/openwrt,63e2b17,2025-12-07T22:24:26Z,80
openwrt/openwrt,ed5cefb,2025-12-07T15:53:07Z,827
openwrt/openwrt,72f43ac,2025-12-06T21:14:03Z,20
openwrt/openwrt,83f6177,2025-12-06T18:34:37Z,6
openwrt/openwrt,35dbdd6,2025-12-06T16:13:27Z,9
openwrt/openwrt,4e4986a,2025-12-06T16:01:00Z,67
openwrt/openwrt,a90fb76,2025-12-06T03:44:33Z,18
openwrt/openwrt,5ba9354,2025-12-06T03:34:37Z,54
openwrt/openwrt,ff63c5c,2025-12-06T01:44:18Z,25
openwrt/openwrt,6c0ef7d,2025-12-05T19:11:40Z,6
openwrt/openwrt,00c8b5c,2025-12-05T18:50:22Z,28
openwrt/openwrt,ac1ee98,2025-12-05T13:19:05Z,178
openwrt/openwrt,4484252,2025-12-05T13:16:05Z,19
openwrt/openwrt,cc57e15,2025-12-04T23:54:38Z,8
openwrt/openwrt,7b55651,2025-12-04T22:14:30Z,40
openwrt/openwrt,8f19140,2025-12-04T22:13:12Z,1303
openwrt/openwrt,5aeaddc,2025-12-04T20:33:13Z,3
openwrt/openwrt,27e5d7d,2025-12-04T20:12:24Z,6
openwrt/openwrt,75915e3,2025-12-04T19:13:23Z,4
openwrt/openwrt,6c94b53,2025-12-04T18:20:55Z,4
openwrt/openwrt,289172b,2025-12-04T18:11:17Z,4
openwrt/openwrt,0338dd4,2025-12-04T18:08:08Z,2
openwrt/openwrt,7ff663c,2025-12-04T16:51:11Z,40
openwrt/openwrt,78a8cfb,2025-12-04T15:32:03Z,6
openwrt/openwrt,1db4155,2025-12-04T10:31:01Z,6
openwrt/openwrt,af853d3,2025-12-04T10:05:43Z,6
openwrt/openwrt,1842735,2025-12-04T09:20:45Z,6
openwrt/openwrt,3a10dd5,2025-12-04T00:43:41Z,2
openwrt/openwrt,cd9229d,2025-12-03T21:46:44Z,18
openwrt/openwrt,8ad5f35,2025-12-03T18:58:00Z,90
openwrt/openwrt,c820f09,2025-12-03T17:39:52Z,7
openwrt/openwrt,4582d25,2025-12-03T06:36:32Z,141
openwrt/openwrt,26ff8ef,2025-12-03T04:57:28Z,84
openwrt/openwrt,05cd169,2025-12-02T23:19:10Z,28
openwrt/openwrt,4e0dfa6,2025-12-02T20:37:24Z,21
openwrt/openwrt,5869531,2025-12-02T19:40:31Z,132
openwrt/openwrt,03e197e,2025-12-02T19:34:12Z,6
openwrt/openwrt,cc20942,2025-12-02T19:31:26Z,34
openwrt/openwrt,4814636,2025-12-02T08:18:48Z,287
openwrt/openwrt,5c513d1,2025-12-01T22:57:53Z,0
openwrt/openwrt,c885588,2025-12-01T22:56:54Z,32
openwrt/openwrt,2bc7978,2025-12-01T18:13:52Z,62
openwrt/openwrt,9c6dbb0,2025-12-01T16:06:45Z,70
openwrt/openwrt,a703b91,2025-12-01T14:57:00Z,4
openwrt/openwrt,5bdf1b8,2025-12-01T14:02:04Z,18
openwrt/openwrt,141ac0b,2025-12-01T12:58:40Z,8
openwrt/openwrt,d0fcbdd,2025-12-01T11:30:51Z,14
openwrt/openwrt,316a85e,2025-12-01T10:33:11Z,6
openwrt/openwrt,bda163e,2025-12-01T10:28:04Z,2
openwrt/openwrt,d7f777b,2025-11-30T16:09:46Z,59
openwrt/openwrt,1346dc1,2025-11-30T12:11:56Z,408
openwrt/openwrt,8d2d491,2025-11-29T18:05:42Z,6
openwrt/openwrt,1aee2f5,2025-11-29T17:02:12Z,228
openwrt/openwrt,9323ed5,2025-11-29T17:01:48Z,3
openwrt/openwrt,39f2019,2025-11-29T16:56:11Z,186
openwrt/openwrt,48c9e55,2025-11-29T16:55:41Z,1046
openwrt/openwrt,3bbb4f6,2025-11-29T16:35:55Z,12
openwrt/openwrt,24b8db1,2025-11-29T16:18:26Z,11
openwrt/openwrt,211b11a,2025-11-29T10:37:22Z,16
openwrt/openwrt,60521b6,2025-11-29T09:06:28Z,2
openwrt/openwrt,1ead4e6,2025-11-29T00:04:09Z,6
openwrt/openwrt,616b0ce,2025-11-28T23:31:24Z,3
openwrt/openwrt,f891609,2025-11-28T20:20:45Z,2
