julycoding/The-Art-Of-Programming-By-July-2nd,cb7f837,a0d1904,298
jarun/nnn,2ec3ad4,db8b618,248
openssl/openssl,5375e94,0d3efc8,218
mpv-player/mpv,b290781,95c882d,178
SamyPesse/How-to-Make-a-Computer-Operating-System,eb30f88,8b0d743,168
ggreer/the_silver_searcher,8cc74e0,044f178,151
valkey-io/valkey,258213f,cab500c,133
php/php-src,114260b,d40ae97,130
ValdikSS/GoodbyeDPI,754ff6f,11c322a,126
tmux/tmux,679bbdc,73b2277,105
nothings/stb,59f06c1,dc664b1,92
torvalds/linux,6f6aed2,27f204c,88
facebook/zstd,23e5f80,19025f3,88
Genymobile/scrcpy,fb47b87,5df218d,84
micropython/micropython,653f778,f1b00d6,76
cfenollosa/os-tutorial,ee368f4,5c39cb6,74
asmvik/yabai,b0b0eeb,db079ae,69
bilibili/ijkplayer,89baebd,681b318,67
ventoy/Ventoy,5e607b7,8fc8cc6,62
FFmpeg/FFmpeg,90551b7,775b102,60
iovisor/bcc,04dbccd,b621d23,57
jqlang/jq,2ee20ca,9e2695e,56
obsproject/obs-studio,caa3d3e,220b0ec,56
robertdavidgraham/masscan,38e1a6f,268b848,56
nginx/nginx,3b16b46,2f9e843,55
valinet/ExplorerPatcher,7c4567a,092edc1,53
TheAlgorithms/C,bdb81df,beade2d,50
