项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
skywind3000/kcp,https://github.com/skywind3000/kcp,f4f3a89,Linwei,2025-04-22T07:37:00Z,Merge pull request #444 from MouseBrilliant/patch-1  Update README.en.md,https://github.com/skywind3000/kcp/commit/f4f3a89cc632647dabdcb146932d2afd5591e62e
skywind3000/kcp,https://github.com/skywind3000/kcp,db4526a,MouseBrilliant,2025-04-22T05:13:59Z,"Update README.en.md  I rewrote the document, preserving the original message. The initial document was difficult for native English speakers to read and comprehend. I have cleaned up some things to make it straightforward for readers with any level of English proficiency.",https://github.com/skywind3000/kcp/commit/db4526a01bf29300d01226f3a49928f54819af6c
skywind3000/kcp,https://github.com/skywind3000/kcp,ec72e34,Linwei,2025-04-09T06:32:26Z,Merge pull request #443 from myd7349/update-cmake-version  fix configuration error with CMake 4.0,https://github.com/skywind3000/kcp/commit/ec72e3471576563e2ff6898ebca716c9f66fd77b
skywind3000/kcp,https://github.com/skywind3000/kcp,fbf73d1,myd7349,2025-04-08T14:48:52Z,update cmake minimum version,https://github.com/skywind3000/kcp/commit/fbf73d19a1589acef6b27a04003e074d378fddc6
skywind3000/kcp,https://github.com/skywind3000/kcp,7f98058,Linwei,2024-11-30T17:49:42Z,Merge pull request #435 from quqiOnfree/master  添加现代C++/Asio的KCP支持,https://github.com/skywind3000/kcp/commit/7f9805887b0909c52c825925f123e7a84da37167
skywind3000/kcp,https://github.com/skywind3000/kcp,8f706ad,Xuan Xiao,2024-11-30T15:25:54Z,Update README,https://github.com/skywind3000/kcp/commit/8f706ad697afdcf6a398c9f03a6751531ec44237
skywind3000/kcp,https://github.com/skywind3000/kcp,b4a0aba,Linwei,2024-11-23T09:30:32Z,Merge pull request #434 from wpjscc-labs/master  php kcp 扩展,https://github.com/skywind3000/kcp/commit/b4a0aba445c924b39f981525345723c66dc9814e
skywind3000/kcp,https://github.com/skywind3000/kcp,bfe542b,wpjscc,2024-11-23T00:52:28Z,php kcp 扩展,https://github.com/skywind3000/kcp/commit/bfe542b9ec00db71c54c6361c25f9fca10a9e397
skywind3000/kcp,https://github.com/skywind3000/kcp,ecafc2b,skywind3000,2024-10-16T08:31:07Z,update docs,https://github.com/skywind3000/kcp/commit/ecafc2b299a7b9c84b776c42ab2497277936a1db
skywind3000/kcp,https://github.com/skywind3000/kcp,fcd4393,skywind3000,2024-10-16T08:29:33Z,update docs,https://github.com/skywind3000/kcp/commit/fcd439304f36d046c61fbcea2f9e326176698bff
skywind3000/kcp,https://github.com/skywind3000/kcp,bb9416a,skywind3000,2024-10-16T08:27:39Z,update docs,https://github.com/skywind3000/kcp/commit/bb9416a7052dd0cbcc03def38f63af8c58a25c74
skywind3000/kcp,https://github.com/skywind3000/kcp,0d85027,skywind3000,2024-10-16T08:26:45Z,update docs,https://github.com/skywind3000/kcp/commit/0d850273708b3c9d82d768322d26b2d58703c838
