项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,0cd3f51,UberGuidoZ,2025-12-05T08:46:58Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/0cd3f51a3144520c5742bb5e3246a1226b920b1b
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,eb4d7e1,UberGuidoZ,2025-12-03T12:46:51Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/eb4d7e14cdef380bd2701d0359b7d759f55e35a2
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,d4bfaaf,UberGuidoZ,2025-12-03T02:47:04Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/d4bfaafb447e85af50f07294253f33fe5aeb8050
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,8629a6c,UberGuidoZ,2025-11-23T13:00:27Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/8629a6c2f29d7166b6406aeee9450c6e190d1047
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,ef631ca,UberGuidoZ,2025-10-27T02:12:14Z,Merge pull request #672 from RogueMaster/main,https://github.com/UberGuidoZ/Flipper/commit/ef631ca25ce3d7e94a778786f794dcff5368fe29
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,6c04bdc,RogueMaster,2025-10-25T05:19:05Z,RM FAP UPDATES,https://github.com/UberGuidoZ/Flipper/commit/6c04bdc823c3c97d531e224fb6b4fb794590595a
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,cd2935c,RogueMaster,2025-10-25T05:09:49Z,Merge branch 'main' into mainRM,https://github.com/UberGuidoZ/Flipper/commit/cd2935cb29bb7aaab7ffc6213e11457e14a486bd
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,f4c02cb,UberGuidoZ,2025-10-18T14:00:28Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/f4c02cb00e4453f0893a63ff3cbf1b25b9bdf2a1
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,9f768f0,UberGuidoZ,2025-10-18T10:00:28Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/9f768f074ead41138ee6ab3888432398ba2786b9
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,353557b,RogueMaster,2025-10-13T03:34:15Z,RM FAP UPDATES,https://github.com/UberGuidoZ/Flipper/commit/353557bfaa48a98ff0fbd01b625ec1f9c18a2f16
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,363494d,UberGuidoZ,2025-09-04T03:59:58Z,Merge pull request #668 from RogueMaster/main,https://github.com/UberGuidoZ/Flipper/commit/363494d4fdd83d322e9f01257b31c7b578ed460e
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,ee2fbfc,RogueMaster,2025-09-03T07:47:13Z,RM FAP UPDATES,https://github.com/UberGuidoZ/Flipper/commit/ee2fbfcbf29e27008fcc6e38dd1d32c0e5dd62a1
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,9897fac,RogueMaster,2025-09-03T07:45:06Z,Merge branch 'main' into mainRM,https://github.com/UberGuidoZ/Flipper/commit/9897faccf8b652115b0231e9055bf9d4d46cf0c4
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,b3f4a49,UberGuidoZ,2025-09-01T08:30:40Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/b3f4a497c286bd0cb97a804e0eb9d17483f8bc89
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,61d5533,RogueMaster,2025-08-26T23:54:21Z,RM FAP UPDATES,https://github.com/UberGuidoZ/Flipper/commit/61d553389a73fb25018f80ad1f5baac6b7787fa1
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,d9c785b,RogueMaster,2025-08-26T23:30:55Z,Merge branch 'main' into mainRM,https://github.com/UberGuidoZ/Flipper/commit/d9c785bcf119b3f36ad67da9386bbfb9b7b3898b
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,2657de3,UberGuidoZ,2025-08-26T20:30:41Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/2657de3a913f912751449d482ccfb0bf9bb4017a
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,a14dadc,UberGuidoZ,2025-08-26T05:00:39Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/a14dadc0ab70399028a88dc0982ecd60680d62f1
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,83d7441,RogueMaster,2025-08-26T04:59:07Z,UPD Kuronons,https://github.com/UberGuidoZ/Flipper/commit/83d744111926cb469e8092b2726fd271fb71bc0c
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,109f29a,RogueMaster,2025-08-26T04:53:35Z,Merge branch 'main' into mainRM,https://github.com/UberGuidoZ/Flipper/commit/109f29a4add1f458ed9fc1e09c9ec24b4d6a79ea
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,9ba9d87,RogueMaster,2025-08-26T04:53:27Z,UPD RM FAPs,https://github.com/UberGuidoZ/Flipper/commit/9ba9d87952c09e57316a6900f119f5f15e58ef20
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,6ef7f8b,UberGuidoZ,2025-08-26T04:30:39Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/6ef7f8bc1936b93f75728ca126077a071893b2b7
UberGuidoZ/Flipper,https://github.com/UberGuidoZ/Flipper,2688992,UberGuidoZ,2025-08-25T19:00:42Z,Updated submodule,https://github.com/UberGuidoZ/Flipper/commit/26889922d9ef980bb48d5994dc55b29712e1cafa
